city,day_type,room_type,listing_count,avg_price,median_price,std_price,p10_price,p90_price,avg_satisfaction,avg_cleanliness,avg_dist,avg_metro_dist,avg_capacity,superhost_rate,log_demand
athens,weekday,Entire home/apt,2447,159.44625071983944,133.33958240573665,380.43540199120423,83.65945679938135,237.62097813605794,95.27176134041683,9.662443808745403,1.7832723732725246,0.47685767368790893,3.801389456477319,0.4446260727421332,7.803026643632217
athens,weekday,Shared room,5,76.5355142596021,76.62925034565183,9.984378308708836,60.2254352869496,85.76851873550021,91.8,9.0,1.688411002899184,0.26089081535837605,2.4,0.0,1.791759469228055
athens,weekday,Private room,201,114.265921115021,82.25341550863544,98.52496226250582,51.086166897101215,203.87598715815622,93.09452736318408,9.447761194029852,1.804065061904252,0.48135953412015003,2.5771144278606966,0.2736318407960199,5.308267697401205
athens,weekend,Entire home/apt,2425,150.6732207839959,133.33958240573665,77.43028910713163,83.42511658425703,237.62097813605794,95.05113402061856,9.649484536082474,1.8199104640271793,0.48193957373843743,3.785979381443299,0.44123711340206184,7.793999089503996
athens,weekend,Private room,196,111.37377407785934,77.56661120614909,98.39757063251328,48.50842453073372,196.14276005905376,93.18877551020408,9.428571428571429,1.8504162813301617,0.46906094614206606,2.545918367346939,0.25510204081632654,5.2832037287379885
athens,weekend,Shared room,6,80.33963708512017,83.42511658425703,9.920556205616453,60.2254352869496,85.76851873550021,92.33333333333333,9.166666666666666,1.5955270703469846,0.2890900936152358,2.3333333333333335,0.0,1.9459101490553132
berlin,weekend,Shared room,38,161.9981991999724,151.91175095821256,59.83061203488779,86.9402636253155,208.7033747779751,90.39473684210526,8.973684210526315,3.1353496437850805,0.6473290582296359,4.2894736842105265,0.07894736842105263,3.6635616461296463
amsterdam,weekday,Entire home/apt,538,733.1790985602717,624.2823330911818,503.58791208186653,368.8514986056758,1167.2486115342256,95.21189591078067,9.438661710037175,2.607221809567853,1.0462416220723152,3.197026022304833,0.21189591078066913,6.289715570908998
berlin,weekend,Private room,754,184.94054581355883,162.42871833224268,115.64810401760653,113.81695802561465,278.1153594465738,94.657824933687,9.47082228116711,5.4231906298688655,0.8219305997813482,2.3554376657824934,0.27718832891246686,6.626717749249025
berlin,weekend,Entire home/apt,408,376.23018731658306,307.3291577077685,347.7176872095499,197.01785547349724,616.761708890343,94.14950980392157,9.448529411764707,5.1248462982951715,0.8735204036184647,3.3308823529411766,0.20833333333333334,6.013715156042802
amsterdam,weekday,Private room,559,366.76465497260097,319.6400534295691,180.2889627738869,215.12431748412348,555.3863098446325,93.56171735241503,9.486583184257602,3.0550759966934526,1.1289401824725074,2.4042933810375673,0.370304114490161,6.327936783729195
amsterdam,weekday,Shared room,6,280.9739179340567,258.00857685187356,103.30326969930759,192.8619970473133,479.2257399292293,92.83333333333333,9.166666666666666,3.9725786918229815,1.2825464267430349,2.6666666666666665,0.3333333333333333,1.9459101490553132
budapest,weekday,Entire home/apt,1851,176.30390846452897,151.80711566480238,130.2243383208502,110.21290595478686,250.5052404004324,94.66990815775257,9.491085899513775,1.7192034752770249,0.4846015402966326,3.7088060507833602,0.38087520259319285,7.524021415206125
budapest,weekday,Shared room,7,124.51406280423528,139.11735677022136,54.8480835034402,53.57898199934201,183.06152183108523,98.14285714285714,9.571428571428571,4.3501787667490515,1.1259794151464886,3.7142857142857144,0.0,2.0794415416798357
budapest,weekday,Private room,216,102.37210585591464,87.88833012172769,47.24909525995144,61.333834657141516,153.68707994548103,93.18518518518519,9.277777777777779,3.368173868226673,1.153484837373671,2.462962962962963,0.2777777777777778,5.37989735354046
budapest,weekend,Entire home/apt,1738,193.38009735467506,165.20186116463788,139.13874126172206,114.44282558631386,287.63453494383606,94.81127733026467,9.509205983889528,1.695102762489652,0.46915685005377333,3.6150747986191023,0.4050632911392405,7.461065514354283
budapest,weekend,Shared room,7,129.14683192447916,139.11735677022136,70.1396205194102,53.34398646425718,233.11557080415474,97.0,9.428571428571429,4.322236066370068,1.133107118829914,3.4285714285714284,0.0,2.0794415416798357
budapest,weekend,Private room,203,116.33668122867238,96.81816045495135,76.34162595462625,68.38370070968652,163.08690134887436,93.16256157635468,9.29064039408867,3.0329371403758234,1.0386547646892736,2.5172413793103448,0.270935960591133,5.318119993844216
vienna,weekend,Entire home/apt,1398,258.494166773086,234.20517495266813,103.19399847510945,162.21396349017135,380.99245027230444,93.54005722460658,9.493562231759658,3.024149577060955,0.5128356258943054,3.655937052932761,0.2832618025751073,7.243512974665482
vienna,weekend,Shared room,9,126.14044519240507,88.1191127316925,73.6921812244384,63.5766542785686,254.0728794147208,89.33333333333333,8.444444444444445,2.932509301488541,0.2364587852984867,2.7777777777777777,0.0,2.302585092994046
vienna,weekend,Private room,392,189.23034468678406,136.73655423883318,686.0584084457184,98.63730921160274,220.18091297945446,94.21938775510205,9.418367346938776,3.5453685095182075,0.5389684874291645,2.36734693877551,0.25255102040816324,5.973809611869261
vienna,weekday,Entire home/apt,1349,254.55040432203685,220.41465067900802,358.53620313040267,157.5392094991001,359.48858191337683,93.7175685693106,9.50333580429948,3.0281071768632466,0.5322955292390709,3.597479614529281,0.30392883617494443,7.2078598714324755
vienna,weekday,Shared room,7,169.8271342756302,148.42343921651124,97.07075888236521,76.665965453568,324.66166467989626,86.57142857142857,8.142857142857142,2.4805762930606234,0.18961930380693406,3.5714285714285716,0.14285714285714285,2.0794415416798357
vienna,weekday,Private room,382,191.65328793682158,139.07393123436879,695.5082502291697,98.63730921160274,226.25809316784705,94.21204188481676,9.390052356020943,3.555365817376077,0.5578295072366288,2.3769633507853403,0.2591623036649215,5.948034989180646
barcelona,weekday,Entire home/apt,362,572.5600541183666,474.3174994763423,556.7496522866477,324.20229478436937,804.1054762957618,88.72099447513813,9.196132596685082,1.9844753408584277,0.4205738212773505,4.480662983425415,0.1712707182320442,5.8944028342648505
barcelona,weekday,Shared room,8,114.79740265785371,111.01543044662182,28.260236057878874,80.99238950822723,171.2942490748714,88.375,8.75,3.708951122219253,0.6249926548196801,2.75,0.0,2.1972245773362196
barcelona,weekday,Private room,1185,202.75436580266526,185.25845416249678,92.98575693522038,125.21237228570763,300.92861963832706,91.6210970464135,9.316455696202532,2.1471332683645836,0.43796079622386996,2.229535864978903,0.1848101265822785,7.078341579557671
amsterdam,weekend,Private room,385,407.72214919802366,350.33862161085466,212.11220232335043,227.7786891008366,653.8092001968458,93.31948051948052,9.449350649350649,3.1303190984550873,1.159855160803577,2.394805194805195,0.34545454545454546,5.955837369464831
amsterdam,weekend,Shared room,4,280.79816277271345,196.6114404893024,136.70873034938006,184.4257493028379,479.2257399292293,92.75,9.0,5.412717225653112,1.2814375552525443,3.25,0.5,1.6094379124341003
amsterdam,weekend,Entire home/apt,588,736.0897162745787,614.4400440559605,504.30610353480307,385.9583343097509,1189.74527218616,95.59353741496598,9.488095238095237,2.576488337742986,1.041771289385034,3.011904761904762,0.2261904761904762,6.3784261836515865
